author	title	source	in collection	translator			sorted out	identifier
Henry David Thoreau	 Walden, and on the Duty of Civil Disobedience	https://www.gutenberg.org/ebooks/205					False	164
Robert Louis Stevenson	The Strange Case Of Dr. Jekyll And Mr. Hyde	https://www.gutenberg.org/ebooks/43					False	165
Leo Tolstoy	War and Peace	https://www.gutenberg.org/ebooks/2600		Louise and Aylmer Maude			False	166
Jonathan Swift	A Modest Proposal	https://www.gutenberg.org/ebooks/1080					False	167
Mark Twain	The Adventures of Tom Sawyer	https://www.gutenberg.org/ebooks/74					False	168
Fyodor Dostoevsky	Crime and Punishment	https://www.gutenberg.org/ebooks/2554		Constance Garnett			False	169
Charles Dickens	A Christmas Carol - A Ghost Story of Christmas	https://www.gutenberg.org/ebooks/46					False	170
Plato	The Republic	https://www.gutenberg.org/ebooks/1497		Benjamin Jowett			False	171
Charles Dickens	Great Expectations	https://www.gutenberg.org/ebooks/1400					False	172
Joseph Conrad	Heart of Darkness	https://www.gutenberg.org/ebooks/219					False	173
L. Frank Baum	The Wonderful Wizard of Oz	https://www.gutenberg.org/ebooks/55					False	174
Ayn Rand	Anthem	https://www.gutenberg.org/ebooks/1250					False	175
